uid,receptor_chains,ligand_chains,dG,fold_id,cluster_id,source,Subgroup,fold_id_old,KD
4wnn,B,A,-8.31,,,,,,8.047512340592589e-07
4wwi,D,A,-10.66,,,,,,1.5213622499595516e-08
4x7s,H,L,-10.91,,,,,,9.974453808751744e-09
4xhu,C,D,-10.34,,,,,,2.6116341058272472e-08
4xkl,A,B,-6.01,,,,,,3.912208248796281e-05
4xoi,B,A,-7.0,,,,,,7.351596388749743e-06
4xwj,A,B,-11.39,,,,,,4.434754467245655e-09
4xxw,B,C,-7.21,,,,,,5.156714713076682e-06
4y5o,B,A,-7.98,,,,,,1.4049959991884488e-06
4y61,A,B,-8.79,,,,,,3.578014594778486e-07
4yc7,B,A,-7.8,,,,,,1.9040678339506136e-06
4yeb,B,A,-10.59,,,,,,1.7122564829400236e-08
4yfd,A,B,-8.41,,,,,,6.797109187692996e-07
4yiq,B,A,-7.77,,,,,,2.003012400055578e-06
4yiz,A,B,-11.04,,,,,,8.008487408377018e-09
4yl8,A,B,-7.18,,,,,,5.424682529514104e-06
4yoc,A,C,-8.48,,,,,,6.039320294617096e-07
4yvq,C,A,-7.76,,,,,,2.037123591989451e-06
4yyp,A,B,-8.94,,,,,,2.777384454502083e-07
4z80,A,C,-10.8,,,,,,1.2010477359243812e-08
4z9k,A,B,-11.81,,,,,,2.1819886098774412e-09
4zgq,A,B,-7.64,,,,,,2.4947226166345796e-06
4zlt,B,F,-12.07,,,,,,1.4066149418695176e-09
4zrj,A,B,-7.55,,,,,,2.904196038677359e-06
4zrk,A,E,-8.18,,,,,,1.0023058790432444e-06
5abv,A,B,-12.66,,,,,,5.193791812403931e-10
5ajj,A,B,-7.49,,,,,,3.213870488031778e-06
5ayr,A,B,-11.87,,,,,,1.9717417677045323e-09
5ays,A,C,-12.67,,,,,,5.106822896981145e-10
5b64,A,B,-9.76,,,,,,6.954553942173195e-08
5bn5,A,B,-6.76,,,,,,1.102532569246699e-05
5bnq,R,A,-13.37,,,,,,1.5659899208710307e-10
5c4v,A,B,-8.12,,,,,,1.109181763812641e-06
5d5m,A,B,-8.39,,,,,,7.030589276330704e-07
5d7l,A,B,-6.79,,,,,,1.0480697977343113e-05
5dfw,H,A,-12.68,,,,,,5.021310257151031e-10
5dmj,A,B,-11.28,,,,,,5.339993461689608e-09
5dob,A,B,-8.18,,,,,,1.0023058790432444e-06
5e6p,A,B,-7.77,,,,,,2.003012400055578e-06
5eb1,A,B,-9.35,,,,,,1.38980106515242e-07
5elu,A,B,-8.7,,,,,,4.165295068556929e-07
5eo9,B,A,-8.77,,,,,,3.7009190739721524e-07
5ep6,B,A,-8.38,,,,,,7.15031982827661e-07
5eql,A,B,-9.77,,,,,,6.838101447455253e-08
5et1,A,C,-9.5,,,,,,1.0788138983104793e-07
5f3x,A,B,-11.62,,,,,,3.0074162952383083e-09
5f5s,A,B,-10.58,,,,,,1.7414161174624883e-08
5gjk,A,B,-9.44,,,,,,1.1938478338527046e-07
5gtb,A,B,-5.91,,,,,,4.631902076571174e-05
5h3j,A,B,-8.96,,,,,,2.685149800601686e-07
5imk,B,A,-8.28,,,,,,8.465699971603738e-07
5imm,B,A,-11.53,,,,,,3.5010411310045062e-09
5ius,C,A,-13.49,,,,,,1.2787453768818495e-10
5jjd,B,A,-6.87,,,,,,9.15630566184922e-06
5jke,A,B,-9.6,,,,,,9.111903840183589e-08
5jlv,A,C,-10.67,,,,,,1.4958873696364395e-08
5jmc,A,B,-9.63,,,,,,8.661795108039888e-08
5jyl,B,A,-10.99,,,,,,8.714032985242024e-09
5jze,A,B,-6.99,,,,,,7.476793674313254e-06
5k22,A,B,-10.37,,,,,,2.4826249177569112e-08
5k39,A,B,-10.61,,,,,,1.6553938531241665e-08
5lxq,B,A,-8.45,,,,,,6.353152562283729e-07
5lz3,A,B,-6.44,,,,,,1.8926535482963213e-05
5lz6,A,B,-6.95,,,,,,7.999270044270968e-06
5m2o,A,B,-11.01,,,,,,8.424647115321308e-09
5m72,A,B,-10.2,,,,,,3.3081462297203935e-08
5ml9,A,B,-9.09,,,,,,2.155906356381809e-07
5mn2,A,D,-7.62,,,,,,2.5804161139102993e-06
5mv8,A,B,-7.98,,,,,,1.4049959991884488e-06
5my6,A,B,-11.45,,,,,,4.007440998087352e-09
5n88,H,E,-8.18,,,,,,1.0023058790432444e-06
5npo,A,B,-8.21,,,,,,9.527940935427434e-07
5nus,A,B,-10.85,,,,,,1.1038029906818154e-08
5nvk,A,B,-12.81,,,,,,4.0316092228192645e-10
5nvl,A,B,-12.98,,,,,,3.0255535336706216e-10
5nvm,A,B,-10.71,,,,,,1.3981827292845348e-08
5odw,A,C,-13.12,,,,,,2.388539758778506e-10
5oen,B,A,-10.91,,,,,,9.974453808751744e-09
5omn,B,C,-10.94,,,,,,9.48173693679753e-09
5ovw,A,H,-12.31,,,,,,9.37919261113049e-10
5tzn,F,A,-7.14,,,,,,5.8037579139172735e-06
5tzp,A,B,-10.26,,,,,,2.9893877838254615e-08
5tzq,A,D,-10.63,,,,,,1.6004195844865444e-08
5un7,A,B,-9.44,,,,,,1.1938478338527046e-07
5v52,D,A,-7.41,,,,,,3.678733232301748e-06
5vt9,A,C,-10.91,,,,,,9.974453808751744e-09
5wb8,A,C,-7.57,,,,,,2.8077500763432324e-06
5wos,A,B,-8.8,,,,,,3.518101517798448e-07
5xqz,A,C,-6.7,,,,,,1.220095626881157e-05
6aaf,A,B,-9.26,,,,,,1.6179172470124969e-07
6akm,A,B,-7.04,,,,,,6.871423151275514e-06
6amb,A,B,-6.48,,,,,,1.7690339242520443e-05
6arq,D,A,-6.81,,,,,,1.013264261575723e-05
6aw2,B,A,-9.88,,,,,,5.678902260675438e-08
6bxa,A,C,-10.09,,,,,,3.9834176542341175e-08
6bxc,A,D,-10.75,,,,,,1.3068597169482669e-08
6ch2,A,D,-6.19,,,,,,2.886786300121591e-05
6ch3,A,B,-6.82,,,,,,9.962973716716144e-06
6f3z,A,B,-8.72,,,,,,4.026969044437869e-07
6fc3,A,B,-10.5,,,,,,1.9932991595123004e-08
6ff3,A,B,-10.73,,,,,,1.3517502305658204e-08
6fg8,B,A,-8.19,,,,,,9.855224848736723e-07
6fuz,A,N,-6.85,,,,,,9.47082393697025e-06
6gbg,A,D,-8.7,,,,,,4.165295068556929e-07
6gbh,A,B,-9.76,,,,,,6.954553942173195e-08
6h16,A,B,-10.22,,,,,,3.1982854137085654e-08
6i2m,B,A,-11.28,,,,,,5.339993461689608e-09
6idx,A,C,-7.46,,,,,,3.380878729695144e-06
6isc,A,B,-7.66,,,,,,2.4118749299379163e-06
6iw8,C,A,-8.85,,,,,,3.233252818115018e-07
6j56,A,C,-8.42,,,,,,6.683293071180174e-07
6j9h,B,A,-10.06,,,,,,4.190415285508253e-08
6jb2,B,A,-8.9,,,,,,2.971467347647913e-07
6jb8,B,A,-13.48,,,,,,1.3005223409107092e-10
6jhw,B,A,-10.56,,,,,,1.8012336043135822e-08
6kbm,A,B,-8.48,,,,,,6.039320294617096e-07
6kbr,A,C,-15.07,,,,,,8.872644456918079e-12
6p7s,A,B,-13.12,,,,,,2.388539758778506e-10
6p7y,A,B,-12.62,,,,,,5.556732614392855e-10
6qb3,X,A,-7.67,,,,,,2.371488608273818e-06
6s29,A,B,-11.06,,,,,,7.742532126896276e-09
6sak,A,C,-10.24,,,,,,3.0920729850583325e-08
7sq2,B,A,-9.13,,,,,,2.015092241991727e-07
4kjy,A,B,-14.165620903746431,0.0,2574.0,PDBbind v2020,,7.0,4.0860270623838495e-11
6mkz,A,D,-13.231054638768168,0.0,1656.0,PDBbind v2020,,9.0,1.9801034692314815e-10
5w1m,T,CD,-10.62390864973722,0.0,1826.0,SAbDab,Antibody-Antigen,9.0,1.6169667720886572e-08
5inb,A,B,-9.426551787328371,0.0,1299.0,PDBbind v2020,,8.0,1.221269597821611e-07
2p49,A,B,-10.419910186571592,0.0,506.0,SAbDab,Antibody-Antigen,1.0,2.2819612973953675e-08
2ybr,AB,C,-13.202148809218617,0.0,831.0,PDBbind v2020,,9.0,2.0791540566673856e-10
1j7v,R,L,-14.263680261161344,0.0,200.0,PDBbind v2020,,9.0,3.462478223634818e-11
2lox,A,B,-9.168930134505032,0.0,789.0,PDBbind v2020,,7.0,1.8868813009607145e-07
1bvk,C,AB,-10.714025204673744,0.0,2470.0,SAbDab,Antibody-Antigen,7.0,1.3887112465010151e-08
1pjm,B,A,-9.200962367002328,0.0,563.0,PDBbind v2020,,0.0,1.7875284907290137e-07
3r85,A,E,-5.98059426719445,0.0,1007.0,PDBbind v2020,,2.0,4.11137760370639e-05
3kz0,A,C,-8.954197261994379,0.0,1159.0,PDBbind v2020,,5.0,2.711590457155009e-07
1t63,A,B,-6.580636922820865,0.0,408.0,PDBbind v2020,,4.0,1.4925595024218987e-05
3di3,A,B,-10.473806597034622,0.0,1313.0,PDBbind v2020,,5.0,2.08344502612163e-08
3rt0,A,C,-8.077009868549451,0.0,2340.0,PDBbind v2020,,8.0,1.1926982099696145e-06
4ffz,X,YZ,-8.704648509028717,0.0,1713.0,SAbDab,Antibody-Antigen,1.0,4.1327266069462817e-07
2m49,A,B,-6.820855530459986,0.0,787.0,PDBbind v2020,,2.0,9.948590632812065e-06
4hkx,E,AB,-8.790305944850525,0.0,1328.0,SAbDab,Antibody-Antigen,1.0,3.576166542292914e-07
1p2c,C,AB,-13.653680194947308,0.0,1749.0,SAbDab,Antibody-Antigen,9.0,9.699408920005135e-11
1b3s,D,A,-13.548693878481874,0.0,34.0,SKEMPI v2.0,,2.0,1.1580825274975448e-10
5zxv,B,CD,-9.876022468427312,0.0,1349.0,SAbDab,Antibody-Antigen,0.0,5.717174033689302e-08
4y8d,A,C,-10.982409539350494,0.0,2388.0,SAbDab,Antibody-Antigen,7.0,8.826445549827521e-09
5tz2,C,HL,-12.21039815040233,0.0,2567.0,SAbDab,Antibody-Antigen,8.0,1.1097134922787475e-09
5tru,C,HL,-10.87884731852712,0.0,1568.0,SAbDab,Antibody-Antigen,1.0,1.0513218524720013e-08
4m0w,A,B,-7.058119259236868,0.0,2422.0,PDBbind v2020,,3.0,6.664360770694248e-06
5ikc,M,AB,-10.324914865455204,0.0,1293.0,SAbDab,Antibody-Antigen,9.0,2.6790164338800698e-08
2mv7,A,B,-12.014084957877197,0.0,1023.0,PDBbind v2020,,1.0,1.5459016733437895e-09
5jds,A,B,-11.626664925037051,0.0,1305.0,SAbDab,Antibody-Antigen,6.0,2.9737582883361422e-09
1ozs,A,B,-6.1505541050908485,0.0,350.0,PDBbind v2020,,1.0,3.085625615997047e-05
5v5i,A,B,-8.64123138593321,0.0,2677.0,PDBbind v2020,,5.0,4.599865664326779e-07
6f0f,A,B,-9.200962367002328,0.0,694.0,PDBbind v2020,,3.0,1.7875284907290137e-07
6ov2,A,B,-11.521948733725615,0.0,2039.0,PDBbind v2020,,6.0,3.548965705942848e-09
2jix,E,HL,-10.262493818945051,0.0,2013.0,SAbDab,Antibody-Antigen,6.0,2.9768253359718108e-08
6k06,A,C,-9.063517555239486,0.0,978.0,PDBbind v2020,,2.0,2.254506183113496e-07
5kw9,A,HL,-10.4880832392711,0.0,1431.0,SAbDab,Antibody-Antigen,0.0,2.0338172508594612e-08
2p42,C,D,-10.419910186571592,0.0,505.0,SAbDab,Antibody-Antigen,0.0,2.2819612973953675e-08
3ddc,A,B,-8.339872709545139,0.0,538.0,PDBbind v2020,,9.0,7.651626830960057e-07
1kne,P,A,-6.506483770485678,0.0,234.0,SKEMPI v2.0,,6.0,1.6916622240536852e-05
2mws,A,B,-5.929761893029941,0.0,1024.0,PDBbind v2020,,5.0,4.479881329594355e-05
6bw9,B,A,-11.401108419624416,0.0,973.0,PDBbind v2020,,0.0,4.352341388659977e-09
5ywp,A,QR,-11.644710542934746,0.0,1617.0,PDBbind v2020,,9.0,2.8845062056653774e-09
4jra,A,D,-10.303368782521945,0.0,1038.0,PDBbind v2020,,8.0,2.7782844986249057e-08
2nbv,A,B,-6.863850181391922,0.0,1029.0,PDBbind v2020,,2.0,9.251888698861808e-06
4dvg,A,B,-7.53415160676106,0.0,2502.0,PDBbind v2020,,7.0,2.982968924296241e-06
4f37,A,HL,-11.267558565791363,0.0,1816.0,SAbDab,Antibody-Antigen,0.0,5.453369818946753e-09
5xmh,A,HL,-5.178229841853146,0.0,1862.0,SAbDab,Antibody-Antigen,6.0,0.0001593751524889
5usl,X,HL,-14.727427584496755,0.0,1344.0,SAbDab,Antibody-Antigen,2.0,1.5822926050685785e-11
6h3u,IM,A,-10.154477050942525,0.0,1767.0,PDBbind v2020,,2.0,3.5724819884812624e-08
5d8j,A,HL,-11.93592422329069,0.0,1256.0,SAbDab,Antibody-Antigen,9.0,1.7640176317530743e-09
4lgp,A,B,-13.148252398755588,0.0,1384.0,PDBbind v2020,,8.0,2.2772614727779067e-10
3rkd,B,CD,-11.22697092131989,0.0,1752.0,SAbDab,Antibody-Antigen,4.0,5.8402424336025084e-09
3tg1,A,B,-8.179131543299079,0.0,2361.0,PDBbind v2020,,0.0,1.0037768637778804e-06
2jjt,C,A,-8.077009868549451,0.0,2572.0,PDBbind v2020,,2.0,1.1926982099696145e-06
6ere,A,D,-9.735648747730949,0.0,2232.0,PDBbind v2020,,1.0,7.246492657697836e-08
1he8,B,A,-8.029588407603734,0.0,153.0,SKEMPI v2.0,,0.0,1.2921360292303743e-06
4gaf,A,B,-16.021817897462313,0.0,907.0,PDBbind v2020,,0.0,1.7783389198751377e-12
4hem,ABC,EFG,-10.913368848735978,0.0,1190.0,PDBbind v2020,,4.0,9.917871959919237e-09
5d1x,E,AB,-14.566319915310617,0.0,1246.0,SAbDab,Antibody-Antigen,3.0,2.0770118871364387e-11
1g6v,A,K,-9.74382062879072,0.0,129.0,SAbDab,Antibody-Antigen,2.0,7.147181500273812e-08
1zmy,L,A,-9.936617775484123,0.0,1785.0,SAbDab,Antibody-Antigen,3.0,5.1611013422352014e-08
3pvm,A,B,-10.06315017488282,0.0,1166.0,PDBbind v2020,,7.0,4.1681832954081264e-08
3k9m,A,C,-11.866883532676171,0.0,291.0,PDBbind v2020,,4.0,1.9821456902443536e-09
3uir,A,C,-12.769342069523557,0.0,241.0,PDBbind v2020,,3.0,4.3181318716278004e-10
4eiz,B,C,-11.626664925037051,0.0,1790.0,SAbDab,Antibody-Antigen,1.0,2.9737582883361422e-09
5h9b,A,B,-8.418675960645709,0.0,843.0,PDBbind v2020,,9.0,6.698252610688805e-07
2kqs,A,B,-5.807651366565731,0.0,757.0,PDBbind v2020,,6.0,5.505784401997324e-05
3lzf,HL,AB,-11.73468169303958,0.0,1319.0,SKEMPI v2.0,,1.0,2.477929642281692e-09
6d6u,D,KL,-11.206215685154293,0.0,1700.0,SAbDab,Antibody-Antigen,2.0,6.048563258123999e-09
4dm6,A,E,-7.944808028912861,0.0,2495.0,PDBbind v2020,,8.0,1.4910217060864403e-06
4gi3,A,C,-12.506026456642058,1.0,255.0,PDBbind v2020,,8.0,6.73604125541478e-10
2a24,A,B,-6.1699805006690625,1.0,2197.0,PDBbind v2020,,4.0,2.9860454715134004e-05
5o2t,A,B,-9.245374367853676,1.0,542.0,PDBbind v2020,,6.0,1.6583735548242856e-07
2byk,B,A,-7.691567974387599,1.0,619.0,PDBbind v2020,,6.0,2.286670821536436e-06
5ibl,AB,HL,-7.426134838758529,1.0,1647.0,PDBbind v2020,,3.0,3.5798548962459636e-06
5mr4,A,C,-9.082074615395763,1.0,1470.0,PDBbind v2020,,9.0,2.184953326875916e-07
2l1l,B,A,-11.124681626825549,1.0,774.0,PDBbind v2020,,4.0,6.94140188707419e-09
5xoc,A,B,-6.953057370096575,1.0,1575.0,PDBbind v2020,,6.0,7.958077465297183e-06
5d1k,A,B,-9.200962367002328,1.0,1244.0,PDBbind v2020,,5.0,1.7875284907290137e-07
2jt4,A,B,-5.999542686156381,1.0,728.0,PDBbind v2020,,0.0,3.981906765804197e-05
1u0i,A,B,-9.760510520733549,1.0,423.0,PDBbind v2020,,0.0,6.94856104669029e-08
3gmw,A,B,-14.052367483071771,1.0,663.0,PDBbind v2020,,0.0,4.947187361383764e-11
5glh,A,B,-14.574844551357735,1.0,2018.0,PDBbind v2020,,7.0,2.0473271005153302e-11
2l29,A,B,-10.66141813527182,1.0,150.0,PDBbind v2020,,1.0,1.517723337453735e-08
2knb,B,A,-6.7643888253635716,1.0,756.0,PDBbind v2020,,9.0,1.0943916654398655e-05
2kvq,E,G,-5.867340846519791,1.0,766.0,PDBbind v2020,,9.0,4.977880716009257e-05
4ypi,A,E,-10.52075804448187,1.0,2615.0,PDBbind v2020,,8.0,1.9246380720568315e-08
5w06,T,HL,-13.44236741685774,1.0,19.0,SAbDab,Antibody-Antigen,5.0,1.3858511194207268e-10
5m2i,E,J,-12.642600655487396,1.0,1608.0,SAbDab,Antibody-Antigen,5.0,5.348657208211486e-10
5ywo,A,QR,-11.16585893895901,1.0,1615.0,PDBbind v2020,,3.0,6.475134850049141e-09
6k7o,R,FG,-11.64674996657943,1.0,1427.0,PDBbind v2020,,3.0,2.8745893831854215e-09
3p9w,E,F,-10.634914266220765,1.0,1781.0,SAbDab,Antibody-Antigen,0.0,1.587193447623538e-08
6a78,B,LM,-9.03299825956467,1.0,1659.0,PDBbind v2020,,2.0,2.37374186927823e-07
4u6v,A,HL,-15.00588216701197,1.0,2544.0,SAbDab,Antibody-Antigen,5.0,9.887248138337444e-12
4zi2,A,C,-8.698979068790823,1.0,2176.0,PDBbind v2020,,0.0,4.172482238187452e-07
6fbx,A,B,-8.818964970820693,1.0,1920.0,PDBbind v2020,,5.0,3.407218222706821e-07
5aaw,L,Kk,-11.41063138903199,1.0,2210.0,SAbDab,Antibody-Antigen,9.0,4.282911047477595e-09
3ojm,A,B,-9.393759513695732,1.0,385.0,PDBbind v2020,,4.0,1.2908047308483356e-07
4a49,A,B,-5.97063685660683,1.0,1502.0,PDBbind v2020,,2.0,4.1810934297319226e-05
2mnu,A,B,-9.055739080479595,1.0,1017.0,PDBbind v2020,,3.0,2.2843148457752967e-07
3bn3,B,A,-6.410199108308183,1.0,811.0,PDBbind v2020,,5.0,1.9903356589030577e-05
3wih,A,HL,-10.53310124059703,1.0,1814.0,SAbDab,Antibody-Antigen,9.0,1.8849372316319076e-08
6nms,AB,C,-12.740177470813416,1.0,2568.0,PDBbind v2020,,1.0,4.536119226914426e-10
3tl8,A,B,-7.442824730701357,1.0,2362.0,PDBbind v2020,,9.0,3.480370588588703e-06
4pz6,A,Q,-9.109635490942626,1.0,2402.0,PDBbind v2020,,8.0,2.085593830604641e-07
6bit,G,JL,-11.711445303727924,1.0,1764.0,SAbDab,Antibody-Antigen,6.0,2.577092077798918e-09
4m8q,S,AB,-11.462181451938106,1.0,957.0,SAbDab,Antibody-Antigen,1.0,3.9258488632774934e-09
2b7c,B,A,-8.727884898340376,1.0,578.0,PDBbind v2020,,0.0,3.973705810133431e-07
3wa0,A,G,-7.609886741301236,1.0,2244.0,PDBbind v2020,,1.0,2.624862429657596e-06
5vzm,A,B,-5.881733100422892,1.0,1538.0,PDBbind v2020,,5.0,4.858358741247326e-05
2lqh,B,A,-5.552969086545483,1.0,990.0,PDBbind v2020,,4.0,8.464407747711237e-05
3lb8,A,C,-5.702857373420846,1.0,930.0,PDBbind v2020,,9.0,6.571619296405593e-05
1wa7,A,B,-6.846276164551769,1.0,457.0,PDBbind v2020,,4.0,9.530566750230194e-06
2leh,A,B,-11.570198219940638,1.0,779.0,PDBbind v2020,,0.0,3.2712736968531663e-09
3p0y,A,HL,-11.891068604310233,1.0,1585.0,SAbDab,Antibody-Antigen,1.0,1.9028250872164007e-09
4zqu,A,B,-10.634914266220765,1.0,2520.0,PDBbind v2020,,2.0,1.587193447623538e-08
5czf,B,C,-13.641711060919972,1.0,1238.0,PDBbind v2020,,3.0,9.897445557927592e-11
2kwo,A,B,-5.905260931234441,1.0,2153.0,PDBbind v2020,,4.0,4.6691183188771346e-05
3olm,D,A,-5.515168898363368,1.0,2292.0,PDBbind v2020,,7.0,9.02232055453699e-05
5y80,A,B,-11.991725625696471,1.0,2386.0,SAbDab,Antibody-Antigen,2.0,1.605386554210138e-09
4xl5,A,C,-12.078196310765742,1.0,2602.0,PDBbind v2020,,2.0,1.3872804458780415e-09
2m04,B,A,-10.913368848735978,1.0,1003.0,PDBbind v2020,,5.0,9.917871959919237e-09
2kxh,B,A,-6.6215118863977525,1.0,770.0,PDBbind v2020,,7.0,1.3930125085758056e-05
6j6y,A,BC,-12.990836031129048,1.0,387.0,PDBbind v2020,,6.0,2.9706944007049096e-10
1hez,E,CD,-9.329064176547238,1.0,274.0,SAbDab,Antibody-Antigen,1.0,1.4398141250084048e-07
3eqy,C,A,-11.009653510913472,1.0,1523.0,SKEMPI v2.0,,1.0,8.429577826507669e-09
5szi,A,B,-8.999272375383182,1.0,964.0,PDBbind v2020,,8.0,2.512853549538812e-07
2lfw,A,B,-11.256883466462137,1.0,780.0,PDBbind v2020,,4.0,5.552566787993617e-09
1yx6,A,B,-5.643135429454957,1.0,497.0,PDBbind v2020,,9.0,7.268937254529853e-05
6h15,B,D,-10.767116105857356,1.0,1788.0,PDBbind v2020,,8.0,1.2696279176410245e-08
5ixd,A,B,-9.756293762834623,1.0,1309.0,PDBbind v2020,,3.0,6.998215924701628e-08
2x1x,R,E,-10.634914266220765,1.0,882.0,PDBbind v2020,,2.0,1.587193447623538e-08
3sjh,A,B,-7.459998454425873,1.0,2120.0,PDBbind v2020,,4.0,3.3808875536083147e-06
5otj,C,HL,-13.327339300945663,1.0,1342.0,SAbDab,Antibody-Antigen,3.0,1.6829654956102514e-10
5xj4,A,HL,-12.517462410507042,1.0,1306.0,PDBbind v2020,,3.0,6.607206898984192e-10
2ru4,A,B,-9.412275145091895,1.0,1467.0,PDBbind v2020,,9.0,1.251070157881564e-07
5do2,A,HL,-9.26338341351248,1.0,1762.0,SAbDab,Antibody-Antigen,3.0,1.608699759715164e-07
5d93,A,BC,-10.634914266220765,2.0,2566.0,PDBbind v2020,,1.0,1.587193447623538e-08
1fcc,C,A,-9.030524552489648,2.0,636.0,SKEMPI v2.0,,6.0,2.383678299344229e-07
3k6g,A,D,-10.616683536000444,2.0,1154.0,PDBbind v2020,,2.0,1.6368157916405153e-08
5j8h,A,B,-9.297247029179822,2.0,598.0,PDBbind v2020,,5.0,1.51928867307364e-07
2w84,A,B,-9.760510520733549,2.0,1142.0,PDBbind v2020,,2.0,6.94856104669029e-08
4ypg,D,HL,-14.128102617611953,2.0,1799.0,SAbDab,Antibody-Antigen,8.0,4.353275735326897e-11
4i2x,F,CD,-8.077009868549451,2.0,1756.0,SAbDab,Antibody-Antigen,1.0,1.1926982099696145e-06
4hgm,A,B,-10.634914266220765,2.0,2538.0,PDBbind v2020,,5.0,1.587193447623538e-08
1kbh,B,A,-10.188340666609866,2.0,226.0,SKEMPI v2.0,,9.0,3.3739244300130885e-08
4cpa,I,A,-12.037321347188852,2.0,2275.0,SKEMPI v2.0,,8.0,1.4864178169773327e-09
1cz8,VW,HL,-13.44236741685774,2.0,1725.0,SKEMPI v2.0,,6.0,1.3858511194207268e-10
2khs,A,B,-8.790305944850525,2.0,301.0,PDBbind v2020,,8.0,3.576166542292914e-07
2l0f,B,A,-5.135383322433987,2.0,768.0,PDBbind v2020,,8.0,0.0001713338361254
6cwt,F,CD,-15.959396850952164,2.0,2276.0,SAbDab,Antibody-Antigen,1.0,1.9760253373891777e-12
2kwv,B,A,-5.519105470878139,2.0,769.0,PDBbind v2020,,6.0,8.962543426540973e-05
5d1z,CD,I,-16.370053273103967,2.0,1247.0,PDBbind v2020,,0.0,9.877061225232631e-13
2ju0,A,B,-9.54919774264398,2.0,730.0,PDBbind v2020,,5.0,9.928100964026506e-08
6mc9,A,B,-8.8885298951221,2.0,592.0,PDBbind v2020,,6.0,3.029582891384412e-07
1a4y,B,A,-20.87322301353176,2.0,3.0,SKEMPI v2.0,,3.0,4.92175418422283e-16
5mi0,A,BC,-8.7132557110273,2.0,1808.0,SAbDab,Antibody-Antigen,3.0,4.0730934814859555e-07
5wt9,G,HL,-12.057406388731234,2.0,1548.0,SAbDab,Antibody-Antigen,4.0,1.4368487487432571e-09
6ndz,E,F,-13.231054638768168,2.0,2021.0,PDBbind v2020,,1.0,1.9801034692314815e-10
6plk,HL,E,-12.19473771481539,2.0,1618.0,PDBbind v2020,,4.0,1.1394514448372487e-09
4zfg,A,HL,-11.32402527088778,2.0,2563.0,SAbDab,Antibody-Antigen,4.0,4.9573973935764134e-09
3uih,P,A,-5.343751014175161,2.0,2369.0,SKEMPI v2.0,,8.0,0.0001205123848605
6eg1,A,B,-5.614616191751911,2.0,1911.0,PDBbind v2020,,2.0,7.627569770305519e-05
4w6y,A,B,-12.006537696784346,2.0,1787.0,SAbDab,Antibody-Antigen,2.0,1.5657298550655934e-09
3zeu,E,D,-8.918407754395435,2.0,2257.0,PDBbind v2020,,6.0,2.88052197639427e-07
5mzv,A,D,-10.154477050942525,2.0,1477.0,SAbDab,Antibody-Antigen,0.0,3.5724819884812624e-08
6uys,A,B,-7.906572054036771,2.0,760.0,PDBbind v2020,,3.0,1.5904691060962128e-06
3gqi,A,B,-10.20602711384864,2.0,1287.0,PDBbind v2020,,9.0,3.274647593210807e-08
5vx0,A,B,-6.381293278758632,2.0,1163.0,PDBbind v2020,,1.0,2.0898980904993704e-05
1g5j,A,B,-12.580179608977248,2.0,122.0,PDBbind v2020,,8.0,5.943232781059083e-10
5f3b,D,EF,-15.719178243313044,2.0,1194.0,SAbDab,Antibody-Antigen,2.0,2.9645760924359124e-12
1nca,HL,N,-9.959854164795782,2.0,298.0,SKEMPI v2.0,,4.0,4.962510308776891e-08
4qci,C,HL,-14.395882100797934,2.0,1379.0,SAbDab,Antibody-Antigen,5.0,2.7697058751930755e-11
2r0l,A,HL,-10.689163431671144,2.0,868.0,SAbDab,Antibody-Antigen,3.0,1.4482546506841608e-08
6im9,A,B,-10.370510586947583,2.0,1521.0,PDBbind v2020,,2.0,2.4804853067015168e-08
2gyk,B,A,-12.894452635181848,2.0,2230.0,SKEMPI v2.0,,7.0,3.495771674184828e-10
3c09,D,HL,-10.049209485013582,2.0,1584.0,SAbDab,Antibody-Antigen,1.0,4.267470709478023e-08
4gms,E,JN,-10.502712426584177,2.0,1714.0,SAbDab,Antibody-Antigen,8.0,1.9841900175444562e-08
6iec,I,JK,-8.36101996918246,2.0,1367.0,PDBbind v2020,,6.0,7.383205048576396e-07
4cmh,A,BC,-13.231054638768168,2.0,2480.0,SAbDab,Antibody-Antigen,6.0,1.9801034692314815e-10
3bs5,A,B,-9.595386212543731,2.0,813.0,PDBbind v2020,,2.0,9.183172871040985e-08
1xdt,T,R,-10.913368848735978,2.0,474.0,PDBbind v2020,,9.0,9.917871959919237e-09
2ka6,A,B,-9.936617775484123,2.0,743.0,PDBbind v2020,,1.0,5.1611013422352014e-08
5xsq,A,B,-11.095775797275996,2.0,2616.0,PDBbind v2020,,4.0,7.288631183536305e-09
2c1m,A,B,-12.22107324973156,2.0,622.0,PDBbind v2020,,3.0,1.0898883881156583e-09
3uii,P,A,-6.820855530459986,2.0,2370.0,SKEMPI v2.0,,0.0,9.948590632812065e-06
2qr0,P,QR,-11.060570273937,2.0,1702.0,SAbDab,Antibody-Antigen,2.0,7.735079683753523e-09
2p44,A,B,-10.502712426584177,2.0,507.0,SAbDab,Antibody-Antigen,0.0,1.9841900175444562e-08
6ne1,A,B,-12.078196310765742,2.0,2022.0,PDBbind v2020,,8.0,1.3872804458780415e-09
2fyl,B,A,-7.575026570337948,2.0,660.0,PDBbind v2020,,8.0,2.7840183372890448e-06
